Id,Title,Original Title,Original Language,Overview,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Genres,Production Companies,Production Countries,Spoken Languages,Director,Stars
31174028,Mai,Mai,vi,"Bị ám ảnh không ngừng bởi quá khứ, Mai được chào đón bởi một bình minh mới khi cô miễn cưỡng kết bạn với người đàn ông hàng xóm. Nhưng hôm qua cô ấy đuổi kịp cô ấy thì ngày mai cô ấy sẽ ra sao?",22119910.0,2503150.0,133,2024-02-10,6.8,495,"['Drama', 'Comedy', 'Romance']",['Trấn Thành Town'],['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Tuan Tran', 'Phuong Anh Dao', 'Hong Dao', 'Ngoc Giau', 'Quoc Khanh', 'Manh Lan' ,'Tran Thanh', 'Tuan Tran']"
1255517,Nhà Bà Nữ,Nhà Bà Nữ,vi,"Bà Nữ (Lê Giang) là một mẫu hệ độc đoán, điều hành gia đình ba thế hệ của mình giống như cách bà điều hành quán bún riêu thành công của mình. Nói tóm lại, cô ấy điều hành một con tàu chặt chẽ trong mọi khía cạnh của cuộc sống. Tuy nhiên, khi ba thế hệ cùng chung sống dưới một mái nhà, tia lửa chắc chắn sẽ bay ra - và không nhất thiết phải là tia lửa tốt. Cảm thấy ngột ngạt trước ánh mắt áp bức của mẹ, cô con gái út Nhị (Uyên An) của Nu quyết định bỏ trốn theo người bạn trai vô tư John (Song Luân). Nhưng cặp đôi trẻ sớm nhận ra rằng họ chưa chuẩn bị sẵn sàng cho tương lai cùng nhau như thế nào. Thời gian trôi qua, những người phụ nữ nhà Nu dần dần hòa giải, mỗi người đều tìm hiểu về bản thân và nhau trên đường đi.",19490980.0,1377680.0,103,2023-01-11,6.1,448,"['Drama', 'Comedy']",['Trấn Thành Town'],['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Huynh Uyen An', 'Le Giang', 'Ngoc Giau', 'Song Luan', 'Ngoc Giau', 'Kha Nhu', 'Tran Thanh']"
787459,"Dad, I'm Sorry",Bố Già,vi,"Câu chuyện về Ba Sang – con thứ 2 trong 4 anh em ồn ào: Giàu, Sáng, Phú, Quý. Ba Sang là người hay can thiệp, “quá” tốt bụng và luôn hy sinh vì người khác dù họ có muốn hay không. Quân – Con trai Ba Sang là một Youtuber trẻ hiện đại.",17480489.0,905332.0,128,2021-03-12,9.2,1100,"['Comedy', 'Family', 'Drama']","['HK Film', 'Trấn Thành Town', 'Galaxy Studio']",['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Tran Thanh', 'Tuan Tran', 'Le Giang']"
939347,Transformers: Rise of the Beasts 3,Transformers: Rise of the Beasts 3,en,Phần thứ hai trong số hai phần tiếp theo được lên kế hoạch cho bộ phim năm 2023 Transformers: Rise of the Beasts.,493000000.0,200000000.0,127,,7.3,4240,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Skydance Media', 'Hasbro Entertainment', 'Paramount']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
1151141,Ma Nữ Báo Thù,Ma Nữ Báo Thù,vi,"Sau một thời gian yêu nhau, luật sư Huy theo bạn gái về quê giới thiệu gia đình cô. Tuy nhiên, chuyến đi không hề yên bình như Huy nghĩ. Kể từ khi về ở trong căn biệt thự cổ của nhà họ Lân, Huy luôn mơ thấy một cô gái trẻ đến tìm mình...",8737253.0,393623.0,93,2016-06-03,6.1,21,['Horror'],[],['Vietnam'],['Tiếng Việt'],Vinh Khuong,"['Hoang Phuc', 'Truong Nam Thanh', 'Trinh Kim Chi']"
280,Terminator 2: Judgment Day,Terminator 2: Judgment Day,en,"Lấy bối cảnh mười năm sau các sự kiện trong phần đầu, bộ phim hành động khoa học viễn tưởng kinh điển của James Cameron kể câu chuyện về nỗ lực thứ hai nhằm loại bỏ thủ lĩnh nổi loạn John Connor, lần này nhắm vào chính cậu bé. Tuy nhiên, cuộc nổi dậy đã cử kẻ hủy diệt được lập trình lại để bảo vệ Connor.",520000000.0,102000000.0,137,1991-07-03,8.111,12258,"['Action', 'Thriller', 'Science Fiction']","['Carolco Pictures', 'Pacific Western', 'Lightstorm Entertainment', 'Le Studio Canal+', 'TriStar Pictures']","['France', 'United States of America']","['Tiếng Anh', 'Tiếng Tây Ban Nha']",Unknown,Unknown
2907,The Addams Family,The Addams Family,en,"Khi người đàn ông tự xưng là chú Fester thất lạc từ lâu xuất hiện trở lại sau 25 năm mất tích, gia đình lên kế hoạch tổ chức lễ kỷ niệm để đánh thức người chết. Nhưng bọn trẻ hầu như không có thời gian làm nóng chiếc ghế điện trước khi Morticia bắt đầu nghi ngờ Fester lừa đảo khi anh không thể nhớ lại bất kỳ chi tiết nào về cuộc đời của Fester.",191502426.0,30000000.0,102,1991-11-22,7.054,4322,"['Comedy', 'Fantasy']","['Paramount', 'Scott Rudin Productions']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
13776794,Face Off: 48H,Lật Mặt 5: 48H,vi,"Phải chạy trốn khỏi băng nhóm tội phạm sau một giao dịch nhầm lẫn, tay võ sĩ đã giải nghệ có 2 ngày để giải quyết ân oán với tên trùm. Nếu thất bại, anh có thể mất cả vợ lẫn con.",6325526.0,1692578.0,110,2021-06-18,5.3,117,['Action'],['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Le Ha Anh', 'Tiet Cuong', 'Huynh Dong', 'Mac Van Khoa', 'Oc Thanh Van']"
11134,Police Story 3: Super Cop,警察故事 III：超級警察,cn,Một thám tử Hồng Kông hợp tác với nữ đồng nghiệp người Hoa Đỏ để ngăn chặn trùm ma túy Trung Quốc.,20500000.0,900000.0,95,1992-07-04,6.8,451,"['Action', 'Crime', 'Thriller']","['Orange Sky Golden Harvest', 'Golden Way Films Ltd.']",['Hong Kong'],"['Hong Kong', 'Tiếng Anh', 'Tiếng Mã Lai', 'Tiếng Lào']",Unknown,Unknown
812,Aladdin,Aladdin,en,"Công chúa Jasmine cảm thấy mệt mỏi vì bị buộc phải ở lại cung điện nên đã cải trang lẻn ra ngoài khu chợ, nơi cô gặp chú nhím đường phố Aladdin. Cặp đôi yêu nhau dù Jasmine có thể chỉ cưới một hoàng tử. Sau khi bị tống vào tù, Aladdin bị lôi kéo vào một âm mưu tìm kiếm chiếc đèn bí ẩn mà tên ác quỷ Jafar hy vọng sẽ thống trị vùng đất.",504050219.0,28000000.0,95,1992-11-25,7.653,10845,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
